id,uniq_id,created_at,product_url,product_name,retail_price,discount,image_urls,description,category,sub_category,rating,brand
1,742469f2-5d12-4681-82a9-787ed4d36ba8,2025-11-29T00:48:54.707Z,https://shameful-reservation.biz,Awesome Granite Chips,288.29,45.16,"[""https://loremflickr.com/2318/3232/product?lock=1227186447028870"",""https://loremflickr.com/2151/3447/product?lock=1279120496094777"",""https://loremflickr.com/3220/3184/product?lock=1615729789045581""]",Rustic Soap designed with Granite for compassionate performance,Baby,Handcrafted,4,Auer - Goodwin
2,090416b0-f33e-44f2-86cb-57806e0fc538,2026-01-15T21:09:17.682Z,https://unhappy-swine.name,Licensed Wooden Bike,625.05,39.37,"[""https://loremflickr.com/3826/939/product?lock=3374735097026167"",""https://loremflickr.com/3481/1591/product?lock=5620395707431122"",""https://loremflickr.com/3922/3709/product?lock=4449486720096691""]",Ergonomic Cheese made with Cotton for all-day made-up support,Automotive,Fantastic,1,"Rowe, Sipes and Botsford"
3,cf0a0b6b-abe3-401f-bd9c-ed7ea859f5b8,2026-02-10T02:03:26.527Z,https://neighboring-zen.info,Intelligent Ceramic Shirt,62.39,33.31,"[""https://loremflickr.com/2699/3068/product?lock=1809304968059555"",""https://loremflickr.com/3656/1400/product?lock=8543856435120981"",""https://loremflickr.com/2555/842/product?lock=4030499946985591""]",Bespoke Shoes designed with Marble for better performance,Games,Fantastic,4,Champlin - Kris
4,d78bed04-c457-4ce7-8970-0e5e9f5d8241,2026-06-19T09:52:06.663Z,https://juvenile-window.info/,Recycled Steel Hat,193.39,11.8,"[""https://loremflickr.com/1184/1682/product?lock=6765829468313156"",""https://loremflickr.com/3247/2491/product?lock=4981749521688787"",""https://loremflickr.com/1470/2108/product?lock=8898850574683181""]",Ergonomic Car made with Ceramic for all-day immense support,Grocery,Refined,4,"Ernser, Runolfsson and Lang"
5,4ce286cc-3d33-4b0d-9451-08cdb066bb9f,2025-10-29T03:03:27.789Z,https://difficult-courtroom.net/,Rustic Bronze Car,274.69,32.02,"[""https://loremflickr.com/1602/3274/product?lock=8103481692490047"",""https://loremflickr.com/2911/1232/product?lock=8987237507491054"",""https://loremflickr.com/1991/3733/product?lock=4735380202232518""]","Featuring Potassium-enhanced technology, our Salad offers unparalleled radiant performance",Tools,Sleek,1,"Roberts, Metz and Wisozk"
6,4ed6678e-a81f-4a1c-841d-146b448c3f94,2025-07-25T16:29:43.014Z,https://easy-gymnast.info,Recycled Bamboo Pizza,329.69,49.68,"[""https://loremflickr.com/1127/2844/product?lock=5819271313247152"",""https://loremflickr.com/22/3577/product?lock=6334247544679958"",""https://loremflickr.com/209/3221/product?lock=2882671435054251""]",Stylish Fish designed to make you stand out with extra-large looks,Music,Sleek,2,Hettinger - Swift
7,54e0ce88-eee3-4453-81a9-ae9d7575680a,2026-03-18T23:43:39.815Z,https://intrepid-thorn.com/,Tasty Gold Bacon,892.99,18.44,"[""https://loremflickr.com/3104/1282/product?lock=7201786696960174"",""https://loremflickr.com/2212/53/product?lock=8930106921960334"",""https://loremflickr.com/1069/2190/product?lock=5089877167330344""]","Featuring Barium-enhanced technology, our Keyboard offers unparalleled stained performance",Music,Handcrafted,2,"Altenwerth, Conn and O'Kon"
8,76b837a0-ccd4-4690-ba07-10b5308ad25d,2026-06-18T08:51:42.235Z,https://separate-essence.net/,Luxurious Plastic Sausages,702.29,42.36,"[""https://loremflickr.com/2261/545/product?lock=5032135420967287"",""https://loremflickr.com/173/424/product?lock=388954392195470"",""https://loremflickr.com/3379/3844/product?lock=1953912034037074""]","Discover the monkey-like agility of our Keyboard, perfect for short users",Computers,Luxurious,3,Rolfson Group
9,d7770dc6-c557-4c50-871d-1a675980051e,2025-07-21T22:51:16.252Z,https://ironclad-tabletop.info,Licensed Rubber Chips,165.75,30.09,"[""https://loremflickr.com/1819/77/product?lock=2867806993049942"",""https://loremflickr.com/725/164/product?lock=5442056169416210"",""https://loremflickr.com/3175/2169/product?lock=5248016634244275""]",Innovative Shirt featuring busy technology and Silk construction,Electronics,Gorgeous,1,"Hilpert, Friesen and Feest"
10,d8c5631f-e38f-4d34-94f2-01e21da7121f,2025-09-07T00:50:36.854Z,https://legal-insolence.org/,Small Granite Tuna,887.8,34.04,"[""https://loremflickr.com/1713/2947/product?lock=7849796147023887"",""https://loremflickr.com/2465/3050/product?lock=8784126823207222"",""https://loremflickr.com/1900/798/product?lock=4863733728349776""]","Savor the juicy essence in our Chicken, designed for superficial culinary adventures",Tools,Fantastic,5,Heidenreich and Sons
